职位,公司名称,公司规模,要求学历,省份,所属市,所属区,月薪,最高月薪,最低月薪,工作经验
数据分析工程师,山东省齐鲁大数据研究院,少于50人,硕士,山东省,济南,历下区,7-9千,9000,7000,1年及以上
python开发工程师,苏州贝康医疗器械有限公司,500-1000人,本科,江苏省,苏州,苏州工业园区,1.3-1.7万·14薪,17000,13000,3年及以上
Python工程师（表现优异有机会转正）,万宝盛华企业管理咨询（上海）有限公司浦东分公司,,本科,上海,上海,浦东新区,1.2-2.4万,24000,12000,2年及以上
python工程师,昆明浩方科技有限公司,50-150人,本科,云南省,昆明,五华区,8千-1.6万,16000,8000,3年及以上
python工程师,广东鑫浪信息科技有限公司,50-150人,大专,广东省,广州,海珠区,7-9千,9000,7000,2年及以上
信息方案设计工程师（烟草行业）,北京达特集成技术有限责任公司,50-150人,本科,北京,北京,大兴区,1.3-2万·13薪,20000,13000,无需经验
python开发工程师,南通展乐信息科技有限公司,,本科,江苏省,南通,崇川区,5千-1万,10000,5000,1年及以上
Python工程师,鑫能元（上海）科技有限责任公司,少于50人,大专,上海,上海,松江区,1-1.8万,18000,10000,3年及以上
python开发工程师,广州东之星航空客货代理服务有限公司,50-150人,本科,广东省,广州,荔湾区,1-1.2万,12000,10000,2年及以上
软件开发工程师,中国科学技术大学,500-1000人,本科,安徽省,合肥,蜀山区,1-2万,20000,10000,3年及以上
python工程师,宁波华港国际船舶代理有限公司,50-150人,本科,浙江省,宁波,鄞州区,10-15万/年,,,3年及以上
Python工程师,广东时代互联科技有限公司,50-150人,本科,广东省,珠海,香洲区,5-9千,9000,5000,1-3年
python工程师,南京品德网络信息技术有限公司,50-150人,本科,江苏省,南京,雨花台区,1-1.2万,12000,10000,3年及以上
python工程师,诺达思（北京）信息技术有限责任公司,50-150人,硕士,北京,北京,,2-3万,30000,20000,3年及以上
Python工程师,兰笺（苏州）科技有限公司,50-150人,本科,江苏省,苏州,苏州工业园区,7千-1万·14薪,10000,7000,1-3年
Python工程师,杭州火途教育科技有限公司,50-150人,本科,深圳,深圳,龙岗区,9千-1.1万,11000,9000,5年及以上
python工程师,成都博瑞科传科技有限公司,少于50人,本科,四川省,成都,武侯区,7千-1.4万·13薪,14000,7000,3年及以上
go开发工程师,广州市溢信科技股份有限公司,150-500人,本科,湖北省,武汉,洪山区,1-1.4万·13薪,14000,10000,在校生/应届生
Python工程师,广东时代互联科技有限公司,50-150人,本科,深圳,深圳,南山区,5-9千,9000,5000,1-3年
Python工程师,软通动力信息技术（集团）股份有限公司,10000人以上,本科,北京,北京,海淀区,1.1-2万,20000,11000,3年及以上
Python工程师(J10563),立信会计师事务所（特殊普通合伙）,5000-10000人,本科,上海,上海,黄浦区,1.3-1.8万,18000,13000,3年及以上
后端开发工程师,广州杰纳医药科技发展有限公司,150-500人,本科,广东省,广州,黄埔区,1.8-2.5万·13薪,25000,18000,5年及以上
python工程师,北京锐玑精械智能电子科技有限公司,50-150人,本科,深圳,深圳,南山区,7千-1.1万,11000,7000,无需经验
数据采集工程师-Python工程,上海宜企网络技术有限公司,50-150人,大专,上海,上海,浦东新区,6千-1万,10000,6000,3年及以上
python开发工程师,河南省信息咨询设计研究有限公司,500-1000人,本科,河南省,郑州,中原区,8千-1.5万,15000,8000,2年及以上
python开发工程师,上海佳依佳信息科技有限公司,50-150人,本科,上海,上海,浦东新区,1-1.8万,18000,10000,3年及以上
python工程师（应用方向）,广州印象科技文化传媒有限公司,少于50人,,广东省,广州,,1.2-1.5万,15000,12000,1-3年
python工程师,北京锐玑精械智能电子科技有限公司,50-150人,本科,浙江省,杭州,上城区,7千-1.1万,11000,7000,无需经验
水利信息化Python工程师,广州益晟项目管理咨询有限公司,少于50人,本科,广东省,广州,天河区,1.5-2.5万,25000,15000,5-10年
python工程师,佛山敬城投资管理有限公司,150-500人,大专,广东省,佛山,禅城区,1.1-1.6万,16000,11000,3-5年
Python工程师,东莞群福塑胶制品有限公司,500-1000人,大专,广东省,东莞,厚街镇,6-8千,8000,6000,1年及以上
python工程师(兼职）,南京小草半导体有限公司,少于50人,本科,江苏省,南京,江宁区,500元/天,,,2年及以上
python工程师,北京锐玑精械智能电子科技有限公司,50-150人,本科,广东省,广州,天河区,7千-1.1万,11000,7000,无需经验
python工程师,重庆金柚智融科技有限公司,,本科,重庆,重庆,,7千-1万,10000,7000,1年及以上
python工程师,成都蓉猫云科科技有限公司,50-150人,本科,四川省,成都,锦江区,7千-1万,10000,7000,无需经验
python工程师,布廷恩工程管理（北京）有限公司,150-500人,本科,上海,上海,嘉定区,1.5-3万·13薪,30000,15000,2年及以上
python工程师,北京锐玑精械智能电子科技有限公司,50-150人,本科,江苏省,苏州,虎丘区,7千-1.1万,11000,7000,无需经验
Python 工程师主管,江西丰功信息技术有限公司,150-500人,本科,江西省,南昌,,1.1-1.2万,12000,11000,3年及以上
python工程师(J11446),上海皓元医药股份有限公司,1000-5000人,本科,上海,上海,浦东新区,7千-1.3万,13000,7000,1年及以上
python工程师,北京锐玑精械智能电子科技有限公司,50-150人,本科,北京,北京,海淀区,7千-1.1万,11000,7000,无需经验
Python 工程师助理,江西丰功信息技术有限公司,150-500人,本科,江西省,南昌,,4-4.5千,4500,4000,无需经验
Python数据采集工程师,上海携宁计算机科技股份有限公司,500-1000人,本科,陕西省,西安,雁塔区,8千-1万,10000,8000,2年及以上
python开发工程师,无锡锂云科技有限公司,少于50人,本科,江苏省,无锡,惠山区,6千-1万,10000,6000,1年及以上
python工程师,北京锐玑精械智能电子科技有限公司,50-150人,本科,湖南省,长沙,岳麓区,7千-1.1万,11000,7000,无需经验
python开发工程师,杭州识度科技有限公司,50-150人,本科,浙江省,杭州,余杭区,8千-1万,10000,8000,1年及以上
python开发工程师,河南甫得影视传媒有限公司,50-150人,,河南省,郑州,金水区,6-8千·13薪,8000,6000,无需经验
python开发工程师,云南智讯达科技开发有限公司,少于50人,本科,云南省,昆明,西山区,8千-1.2万,12000,8000,2年及以上
python工程师,北京锐玑精械智能电子科技有限公司,50-150人,本科,四川省,成都,青羊区,7千-1.1万,11000,7000,无需经验
python开发工程师,深圳市天龙科技有限公司,50-150人,大专,河南省,郑州,管城回族区,8千-1.6万,16000,8000,2年及以上
Python开发工程师,青岛启环国际贸易有限公司,50-150人,本科,山东省,青岛,黄岛区,8千-1万,10000,8000,3-4年
Python开发工程师,大连隆基信息技术有限公司,150-500人,本科,辽宁省,大连,沙河口区,8千-1.2万·13薪,12000,8000,2年及以上
python工程师,北京锐玑精械智能电子科技有限公司,50-150人,本科,重庆,重庆,南岸区,7千-1.1万,11000,7000,无需经验
python开发工程师,深圳市紫川软件有限公司,500-1000人,本科,深圳,深圳,福田区,1.3-1.5万,15000,13000,3年及以上
python开发工程师,武汉光庭信息技术股份有限公司,1000-5000人,本科,湖北省,武汉,,1.4-1.5万,15000,14000,3年及以上
Python 高级工程师,东莞创机电业制品有限公司,10000人以上,本科,广东省,东莞,厚街镇,9千-1.5万·13薪,15000,9000,5年及以上
python工程师,北京锐玑精械智能电子科技有限公司,50-150人,本科,上海,上海,嘉定区,7千-1.1万·13薪,11000,7000,无需经验
Python（AI工程师）,深圳市合元科技有限公司,5000-10000人,本科,深圳,深圳,宝安区,1.8-2.5万·15薪,25000,18000,3年及以上
Python开发工程师,湖南匡安网络技术有限公司,50-150人,本科,湖南省,长沙,岳麓区,1-1.5万·13薪,15000,10000,2年及以上
Python开发工程师,北京观海科技发展有限责任公司,少于50人,本科,湖北省,武汉,东湖新技术产业开发区,1-1.5万,15000,10000,3年及以上
python工程师,北京锐玑精械智能电子科技有限公司,50-150人,本科,江苏省,南京,雨花台区,7千-1.1万,11000,7000,无需经验
python开发工程师,广州赛意信息科技股份有限公司,5000-10000人,本科,深圳,深圳,龙华区,1.1-1.7万,17000,11000,2年及以上
python工程师,小木瓜人工智能科技（武汉）有限公司,少于50人,本科,湖北省,武汉,洪山区,5千-1万,10000,5000,3年及以上
python开发,京华信息科技股份有限公司,150-500人,本科,广东省,广州,天河区,1-2万,20000,10000,2-5年
python工程师,北京锐玑精械智能电子科技有限公司,50-150人,本科,安徽省,合肥,包河区,7千-1.1万,11000,7000,无需经验
python开发工程师,中电变压器股份有限公司,1000-5000人,本科,江苏省,南京,雨花台区,1.2-1.8万,18000,12000,2年及以上
Python软件工程师,北京汇人科技发展有限责任公司,少于50人,本科,北京,北京,大兴区,1-2万,20000,10000,2年及以上
python爬虫开发工程师,河南甫得影视传媒有限公司,50-150人,,河南省,郑州,金水区,6-8千·13薪,8000,6000,无需经验
python工程师,北京锐玑精械智能电子科技有限公司,50-150人,本科,陕西省,西安,未央区,7千-1.1万,11000,7000,无需经验
Python后端开发工程师,上海移宇科技有限公司,150-500人,本科,上海,上海,,1.5-2万,20000,15000,2年及以上
Python爬虫开发工程师,中电变压器股份有限公司,1000-5000人,,江苏省,南京,,1.5-3万,30000,15000,3年及以上
python开发工程师,武汉光庭信息技术股份有限公司,1000-5000人,本科,湖北省,武汉,,1.2-2万,20000,12000,5年及以上
python工程师,北京锐玑精械智能电子科技有限公司,50-150人,本科,湖北省,武汉,江汉区,7千-1.1万,11000,7000,无需经验
Python数据工程师,青岛云智环境数据管理有限公司,少于50人,本科,山东省,青岛,高新区,6千-1万,10000,6000,1年及以上
Python开发工程师,南京畅淼科技有限责任公司,50-150人,本科,江苏省,南京,江宁区,7千-1.2万,12000,7000,无需经验
Python软件开发工程师,河南秋瑭实业发展有限公司,,,河南省,郑州,管城回族区,6-8千·13薪,8000,6000,无需经验
python工程师,北京锐玑精械智能电子科技有限公司,50-150人,本科,河南省,郑州,中原区,7千-1.1万,11000,7000,无需经验
Python自动化工程师,上海天籍信息科技有限公司,少于50人,本科,上海,上海,虹口区,6千-1.2万,12000,6000,1年及以上
python开发工程师（双休+公积金全额+13薪）,中软国际科技服务有限公司,10000人以上,本科,上海,上海,,9千-1.5万·13薪,15000,9000,1年及以上
Python 开发工程师,北京垣械电子科技有限公司,500-1000人,大专,广东省,广州,越秀区,8千-1.3万,13000,8000,无需经验
python工程师,北京锐玑精械智能电子科技有限公司,50-150人,本科,天津,天津,西青区,7千-1.1万,11000,7000,无需经验
Python开发工程师,上海凌瓴信息科技有限公司,少于50人,硕士,上海,上海,浦东新区,1.5-3万,30000,15000,3-4年
高级python开发工程师,南京圣唯思科技有限公司,150-500人,本科,江苏省,南京,,1.5-2.2万,22000,15000,5年及以上
Python 开发工程师,北京垣械电子科技有限公司,500-1000人,大专,浙江省,杭州,萧山区,8千-1.3万,13000,8000,无需经验
Python开发,上海微创软件股份有限公司深圳分公司,500-1000人,大专,深圳,深圳,南山区,1-1.2万,12000,10000,2年及以上
算法工程师（NLP+Python）,上海复深蓝软件股份有限公司,1000-5000人,本科,上海,上海,,1.8-2.5万,25000,18000,3年及以上
python开发工程师,什邡咻咻牛网络科技有限责任公司,少于50人,本科,四川省,德阳,,7-8千,8000,7000,3年及以上
Python 开发工程师,北京垣械电子科技有限公司,500-1000人,大专,深圳,深圳,福田区,8千-1.3万,13000,8000,无需经验
机器视觉（上位机）工程师(福州）,武汉玄鼎实业合伙企业（有限合伙）,50-150人,硕士,福建省,福州,晋安区,1-2万,20000,10000,3年及以上
助理 Python开发工程师实习生,成都市智计全球科技有限责任公司,50-150人,大专,四川省,成都,锦江区,4-6千,6000,4000,无需经验
Java/Python初级开发工程师,广州合迪信息科技有限公司,少于50人,大专,广东省,广州,天河区,5-7千,7000,5000,无需经验
软件工程师（xcode）,巨柯自动化设备（东莞）有限公司,150-500人,大专,广东省,东莞,长安镇,1.5-2.5万·13薪,25000,15000,5年及以上
Python工程师,南京宙讯微电子科技有限公司,50-150人,本科,江苏省,南京,江宁区,6-8千,8000,6000,2年及以上
c#Python应用开发工程师,芯发威达电子（上海）有限公司,1000-5000人,本科,上海,上海,闵行区,1.2-1.5万,15000,12000,3年及以上
Python开发,达观数据有限公司,,本科,湖南省,长沙,,9千-1.1万,11000,9000,3-4年
python后端开发（索）,前锦网络信息技术（上海）有限公司CQCP直通车项目组,1000-5000人,本科,四川省,成都,高新区,8千-1.2万,12000,8000,1年及以上
Python开发,英业达（重庆）有限公司,10000人以上,大专,重庆,重庆,沙坪坝区,5千-1万,10000,5000,2年及以上
python开发工程师,上海精积微半导体技术有限公司,150-500人,本科,上海,上海,浦东新区,1.3-2.5万·14薪,25000,13000,2年及以上
Python开发,达观数据有限公司,,本科,上海,上海,浦东新区,1-1.4万,14000,10000,2年
Python开发工程师,成都迪格天河科技有限公司,少于50人,本科,四川省,成都,高新区,9千-1.2万·13薪,12000,9000,1-3年
python开发工程师,"Sytrons Technology Co.,Ltd. 思信电子科技有限公司",150-500人,本科,深圳,深圳,龙岗区,1.2-2.2万·14薪,22000,12000,1年及以上
