职位,公司名称,公司规模,要求学历,省份,所属市,所属区,月薪,最高月薪,最低月薪,工作经验
Python工程师,广东时代互联科技有限公司,50-150人,本科,深圳,深圳,南山区,5-9千,9000,5000,1-3年
量化工程师,深圳市金田私募证券基金管理有限公司,少于50人,硕士,深圳,深圳,福田区,1.5-3万,30000,15000,1年及以上
Python工程师,兰笺（苏州）科技有限公司,50-150人,本科,江苏省,苏州,苏州工业园区,7千-1万·14薪,10000,7000,1-3年
Python开发工程师,武汉邻盛智能设备有限公司,50-150人,本科,湖北省,武汉,汉阳区,1.2-1.8万,18000,12000,2年及以上
数据分析研究工程师,中国人民大学书报资料中心,150-500人,硕士,北京,北京,海淀区,1.5-1.8万,18000,15000,3年及以上
python开发工程师,广州华资软件技术有限公司,1000-5000人,本科,广东省,广州,天河区,1.4-1.8万,18000,14000,3年及以上
python开发工程师,武汉佰钧成技术有限责任公司,10000人以上,本科,湖北省,武汉,武昌区,1-1.4万,14000,10000,3年及以上
Python软件工程师,浙江艾罗网络能源技术股份有限公司,1000-5000人,本科,浙江省,杭州,西湖区,2-2.8万·15薪,28000,20000,5-10年
后端技术负责人（AI服务方向）,科学城（广州）数字科技集团有限公司,500-1000人,本科,广东省,广州,黄埔区,1.5-2.5万,25000,15000,3年及以上
Python爬虫工程师,见鲸科技（南京）有限公司,50-150人,本科,江苏省,南京,秦淮区,1-1.7万·13薪,17000,10000,3-5年
python开发工程师,上海微风飞扬音乐有限公司,,本科,上海,上海,杨浦区,8千-1.2万,12000,8000,3年及以上
Python开发工程师,中铁第四勘察设计院集团有限公司,5000-10000人,本科,湖北省,武汉,武昌区,1-1.5万,15000,10000,3年及以上
算法工程师,深圳市紫川软件有限公司,500-1000人,本科,深圳,深圳,罗湖区,1.5-2.2万,22000,15000,2年及以上
python开发工程师,江苏析正科技有限公司,少于50人,大专,江苏省,南京,建邺区,8千-1.3万,13000,8000,3年及以上
Python后端开发工程师,湖北珞珈实验室,150-500人,本科,湖北省,武汉,洪山区,15-22万/年,,,2年
高级Python开发工程师（AI方向）,布廷恩工程管理（北京）有限公司,150-500人,本科,上海,上海,嘉定区,1.2-2.2万·13薪,22000,12000,3年及以上
Python开发工程师,上海盛迭信息科技有限公司,150-500人,大专,上海,上海,长宁区,1.1-1.8万,18000,11000,2年及以上
Python高级开发工程师,深圳市一起游戏网络技术有限公司,少于50人,本科,深圳,深圳,南山区,1.8-2.5万,25000,18000,5年及以上
Python工程师,成都卡莱博尔信息技术股份有限公司,50-150人,本科,四川省,成都,高新区,1-1.8万,18000,10000,3年及以上
python后端开发（索）,前锦网络信息技术（上海）有限公司CQCP直通车项目组,1000-5000人,本科,四川省,成都,高新区,8千-1.2万,12000,8000,1年及以上
python工程师,布廷恩工程管理（北京）有限公司,150-500人,本科,上海,上海,嘉定区,1.5-3万·13薪,30000,15000,2年及以上
Python工程师(J10563),立信会计师事务所（特殊普通合伙）,5000-10000人,本科,上海,上海,黄浦区,1.1-1.5万·13薪,15000,11001,2年及以上
python工程师,宁波华港国际船舶代理有限公司,50-150人,本科,浙江省,宁波,鄞州区,10-15万/年,,,3年及以上
AI工程师,捷司达智能科技（广东）有限公司,,本科,广东省,佛山,顺德区,8千-1.2万·13薪,12000,8000,1年及以上
python工程师,南京品德网络信息技术有限公司,50-150人,本科,江苏省,南京,雨花台区,1-1.2万,12000,10000,3年及以上
python工程师,成都博瑞科传科技有限公司,少于50人,本科,四川省,成都,武侯区,7千-1.4万·13薪,14000,7000,3年及以上
算法工程师,东莞市杰瑞智能科技有限公司,150-500人,本科,广东省,东莞,南城区,1-1.3万,13000,10000,2年及以上
Python工程师,青岛启环国际贸易有限公司,50-150人,大专,山东省,青岛,黄岛区,6-8千,8000,6000,3年及以上
Python工程师,东莞群福塑胶制品有限公司,500-1000人,大专,广东省,东莞,厚街镇,6-8千,8000,6000,1年及以上
Python工程师（模型应用）(J13076),上海岩山科技股份有限公司,500-1000人,本科,上海,上海,浦东新区,3-4万,40000,30000,4年及以上
Python工程师,广东时代互联科技有限公司,50-150人,本科,广东省,珠海,香洲区,5-9千,9000,5000,1-3年
Python工程师,南京宙讯微电子科技有限公司,50-150人,本科,江苏省,南京,江宁区,6-8千,8000,6000,2年及以上
Python工程师,无锡秉杰机械有限公司,50-150人,本科,江苏省,无锡,新吴区,1-1.5万,15000,10000,3-5年
python工程师,北京锐玑精械智能电子科技有限公司,50-150人,本科,天津,天津,西青区,7千-1.1万,11000,7000,无需经验
Python工程师,江苏神州半导体科技有限公司,150-500人,本科,江苏省,扬州,邗江区,8千-1.5万,15000,8000,1年及以上
数据采集工程师-Python工程,上海宜企网络技术有限公司,50-150人,大专,上海,上海,浦东新区,6千-1万,10000,6000,3年及以上
资深Python工程师,前锦网络信息技术（上海）有限公司,5000-10000人,本科,上海,上海,徐汇区,1.5-1.7万·14薪,17000,15000,5年及以上
python工程师,北京锐玑精械智能电子科技有限公司,50-150人,本科,浙江省,杭州,上城区,7千-1.1万,11000,7000,无需经验
Python工程师,南京小草半导体有限公司,少于50人,本科,江苏省,南京,江宁区,6-8千,8000,6000,2年及以上
python工程师,成都蓉猫云科科技有限公司,50-150人,本科,四川省,成都,锦江区,7千-1万,10000,7000,无需经验
python工程师,北京锐玑精械智能电子科技有限公司,50-150人,本科,安徽省,合肥,包河区,7千-1.1万,11000,7000,无需经验
Python工程师（数据分析）,默升科技（上海）有限公司,150-500人,本科,上海,上海,浦东新区,20-30万/年,,,3年及以上
python工程师(J11446),上海皓元医药股份有限公司,1000-5000人,本科,上海,上海,浦东新区,7千-1.3万,13000,7000,1年及以上
python工程师,小木瓜人工智能科技（武汉）有限公司,少于50人,本科,湖北省,武汉,洪山区,5千-1万,10000,5000,3年及以上
python工程师,广东鑫浪信息科技有限公司,50-150人,大专,广东省,广州,海珠区,7-9千,9000,7000,2年及以上
python开发工程师,深圳市天龙科技有限公司,50-150人,大专,河南省,郑州,管城回族区,8千-1.6万,16000,8000,2年及以上
python开发工程师,云手（湖北）科技有限公司,50-150人,本科,湖北省,武汉,江岸区,8千-1.5万·13薪,15000,8000,2-5年
python开发工程师,四川威名科技有限公司,50-150人,本科,四川省,成都,青羊区,9千-1.4万,14000,9000,2年及以上
python开发工程师,河南省信息咨询设计研究有限公司,500-1000人,本科,河南省,郑州,中原区,8千-1.5万,15000,8000,2年及以上
Python数据采集工程师,上海携宁计算机科技股份有限公司,500-1000人,本科,陕西省,西安,雁塔区,8千-1万,10000,8000,2年及以上
Python开发工程师,大连隆基信息技术有限公司,150-500人,本科,辽宁省,大连,沙河口区,8千-1.2万·13薪,12000,8000,2年及以上
python开发工程师,杭州旭天云科技有限公司,500-1000人,本科,上海,上海,杨浦区,1.5-2万,20000,15000,3年及以上
python开发工程师,深圳市天龙科技有限公司,50-150人,大专,河南省,郑州,管城回族区,8千-1.6万,16000,8000,2年及以上
python开发工程师,安徽长江数智云计算科技股份有限公司,少于50人,本科,安徽省,马鞍山,花山区,1-1.5万,15000,10000,3年及以上
Python开发工程师,东吴在线（上海）金融信息服务有限公司,50-150人,本科,江苏省,苏州,苏州工业园区,1.3-1.8万,18000,13000,5年及以上
Python开发工程师,上海博为峰信息技术有限公司,1000-5000人,大专,上海,上海,浦东新区,1.7-1.9万,19000,17000,5-10年
Python开发工程师,深圳市睿服科技有限公司,1000-5000人,本科,深圳,深圳,福田区,1.3-1.7万,17000,13000,3-4年
python开发工程师,浙江巨能环境工程有限公司,50-150人,本科,浙江省,杭州,滨江区,1.5-3万·13薪,30000,15000,3年及以上
python开发工程师,上海亦恺互联网科技有限公司,50-150人,本科,上海,上海,静安区,1.5-2万,20000,15000,5年及以上
Python开发工程师,南京中新赛克科技有限责任公司,1000-5000人,本科,江苏省,南京,雨花台区,1.4-2万·13薪,20000,14000,3-5年
python开发工程师,四川瀚海精密制造有限公司,500-1000人,本科,四川省,广安,华蓥市,1-1.8万,18000,10000,2-7年
Python数据采集工程师,上海携宁计算机科技股份有限公司,500-1000人,本科,陕西省,西安,雁塔区,8千-1万,10000,8000,2年及以上
Python算法工程师,深圳市紫川软件有限公司,500-1000人,本科,深圳,深圳,福田区,1.4-1.6万,16000,14000,3年及以上
python开发工程师,上海帮伯信息科技有限公司,少于50人,本科,上海,上海,闵行区,1-1.8万·13薪,18000,10000,2-7年
python开发工程师,河南省信息咨询设计研究有限公司,500-1000人,本科,河南省,郑州,中原区,8千-1.5万,15000,8000,2年及以上
python开发工程师,云南智讯达科技开发有限公司,少于50人,本科,云南省,昆明,西山区,8千-1.2万,12000,8000,2年及以上
