职位,公司名称,公司规模,要求学历,省份,所属市,所属区,月薪,最高月薪,最低月薪,工作经验
python工程师（爬虫方向）,广东君润数智科技有限公司,,本科,安徽省,合肥,蜀山区,1-1.5万,15000,10000,3年及以上
视觉软件工程师,俊杰机械（广东）有限公司,150-500人,大专,深圳,深圳,宝安区,1.8-2.5万,25000,18000,5年及以上
Python工程师,东莞群福塑胶制品有限公司,500-1000人,大专,广东省,东莞,厚街镇,6-8千,8000,6000,1年及以上
python工程师,南京品德网络信息技术有限公司,50-150人,本科,江苏省,南京,雨花台区,1-1.2万,12000,10000,3年及以上
python工程师,布廷恩工程管理（北京）有限公司,150-500人,本科,上海,上海,嘉定区,1.5-3万·13薪,30000,15000,2年及以上
python后端开发工程师,广州市派客朴食信息科技有限责任公司,150-500人,本科,广东省,广州,海珠区,1.8-2.6万,26000,18000,5-10年
python工程师,兰州容大信息科技有限公司,少于50人,本科,甘肃省,兰州,七里河区,6-8千,8000,6000,2年及以上
Python工程师(J10563),立信会计师事务所（特殊普通合伙）,5000-10000人,本科,上海,上海,黄浦区,1.1-1.5万·13薪,15000,11001,2年及以上
C++开发工程师,深圳市中泰安投资有限公司,少于50人,本科,深圳,深圳,宝安区,1-2万,20000,10000,1年及以上
Python工程师,成都卡莱博尔信息技术股份有限公司,50-150人,本科,四川省,成都,高新区,1-1.8万,18000,10000,3年及以上
python工程师,广东鑫浪信息科技有限公司,50-150人,大专,广东省,广州,海珠区,7-9千,9000,7000,2年及以上
python工程师,成都博瑞科传科技有限公司,少于50人,本科,四川省,成都,武侯区,7千-1.4万·13薪,14000,7000,3年及以上
Python工程师,杭州火途教育科技有限公司,50-150人,本科,深圳,深圳,龙岗区,9千-1.1万,11000,9000,5年及以上
Python工程师,兰笺（苏州）科技有限公司,50-150人,本科,江苏省,苏州,苏州工业园区,7千-1万·14薪,10000,7000,1-3年
Python工程师（模型应用）(J13076),上海岩山科技股份有限公司,500-1000人,本科,上海,上海,浦东新区,3-4万,40000,30000,4年及以上
Python工程师,广东时代互联科技有限公司,50-150人,本科,广东省,珠海,香洲区,5-9千,9000,5000,1-3年
自动控制工程师,广州思肯德电子测量设备有限公司,50-150人,本科,广东省,广州,黄埔区,1.2-2万·13薪,20000,12000,3年及以上
python工程师,北京锐玑精械智能电子科技有限公司,50-150人,本科,深圳,深圳,南山区,7千-1.1万,11000,7000,无需经验
Python工程师,广东时代互联科技有限公司,50-150人,本科,深圳,深圳,南山区,5-9千,9000,5000,1-3年
python工程师,宁波华港国际船舶代理有限公司,50-150人,本科,浙江省,宁波,鄞州区,10-15万/年,,,3年及以上
Python工程师,鑫能元（上海）科技有限责任公司,少于50人,大专,上海,上海,松江区,1-1.8万,18000,10000,3年及以上
python工程师,北京锐玑精械智能电子科技有限公司,50-150人,本科,浙江省,杭州,上城区,7千-1.1万,11000,7000,无需经验
python工程师,上海唯析信息科技有限公司,少于50人,本科,上海,上海,嘉定区,8千-1.2万·13薪,12000,8000,无需经验
